model,layer,input_rms,affine_rms,shifted_rms,output_rms,output_std,output_absmax,rms_gain_vs_input
warm_readout_cap50_lam1,sine.3,0.46182653307914734,0.1330125629901886,0.19907023012638092,0.6133296489715576,0.6130049824714661,0.9999998807907104,1.3280519958051995
warm_readout_cap50_lam1,sine.4,0.6133296489715576,0.1694505214691162,0.21468856930732727,0.7314130067825317,0.7309373021125793,0.9999998211860657,1.1925283703616456
warm_readout_cap50_lam1,sine.5,0.7314130067825317,0.21773456037044525,0.25872018933296204,0.9601683616638184,0.9601114988327026,1.0,1.3127581171786593
warm_readout_cap50_lam1,readout,0.9601683616638184,0.9220931529998779,,0.9220931529998779,0.013568765483796597,0.947962760925293,0.960345278823849
warm_readout_cap10_lam1,sine.0,0.5728219747543335,0.2336955964565277,0.2802119851112366,0.6998229026794434,0.6992296576499939,1.0,1.2217109914115583
warm_readout_cap10_lam1,sine.1,0.6998229026794434,0.12499326467514038,0.18877877295017242,0.4488363265991211,0.44808077812194824,0.9999957084655762,0.6413570131538155
warm_readout_cap10_lam1,sine.2,0.4488363265991211,0.12121356278657913,0.1861591339111328,0.4671747386455536,0.4650011658668518,0.9999971985816956,1.0408576823212696
warm_readout_cap10_lam1,sine.3,0.4671747386455536,0.13343319296836853,0.1994505524635315,0.6269646286964417,0.6266106963157654,1.0,1.3420345254843091
warm_readout_cap10_lam1,sine.4,0.6269646286964417,0.16523823142051697,0.2108757495880127,0.7636155486106873,0.7634521722793579,1.0,1.2179563465938492
warm_readout_cap10_lam1,sine.5,0.7636155486106873,0.21110297739505768,0.2535843253135681,0.9432486891746521,0.9431785941123962,1.0,1.2352402866740826
warm_readout_cap10_lam1,readout,0.9432486891746521,0.8011581301689148,,0.8011581301689148,0.01822274550795555,0.8256123065948486,0.8493604490136453
warm_prereadout_cap10_lam1,sine.0,0.5728219747543335,0.2336692214012146,0.28018561005592346,0.6998679637908936,0.6992776989936829,1.0,1.2217896565351676
warm_prereadout_cap10_lam1,sine.1,0.6998679637908936,0.12492331862449646,0.18843162059783936,0.4509693682193756,0.4502491056919098,1.0,0.6443634964753383
